Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ASO4rt2rpp	aso4_p[p] + h_p[p]  -> aso4_c[c] + h_c[c] 	PP_1373 or PP_4103	  0.00	999999.00	  0.00
ASO4tex	aso4_e[e]  -> aso4_p[p] 		  0.00	999999.00	  0.00
ASP3H	akg_c[c] + asp__L_c[c] + o2_c[c]  -> 3hasp__L_c[c] + co2_c[c] + succ_c[c] 	PP_4222	  0.00	999999.00	  0.00
BZDH	bzal_c[c] + h2o_c[c] + nad_c[c]  -> bz_c[c] + 2 h_c[c] + nadh_c[c] 	pWW0_131	  0.00	999999.00	  0.00
BZt1pp	bz_p[p] + h_p[p]  -> bz_c[c] + h_c[c] 	PP_3165	  0.00	999999.00	  0.00
BZt2_pp	bz_p[p] + 2 h_p[p]  -> bz_c[c] + 2 h_c[c] 	PP_1188	  0.00	999999.00	  0.00
BZtex	bz_e[e]  -> bz_p[p] 	PP_3168	  0.00	999999.00	  0.00
BIOMASS_KT2440_Core2	0.000223 10fthf_c[c] + 0.000223 4fe4s_c[c] + 0.000223 2fe2s_c[c] + 0.000223 5mthf_c[c] + 0.000279 accoa_c[c] + 0.598267 ala__L_c[c] + 46.9189 atp_c[c] + 0.000223 chor_c[c] + 0.000223 amet_c[c] + 0.000223 btamp_c[c] + 0.004226 cl_c[c] + 0.354251 arg__L_c[c] + 0.004226 ca2_c[c] + 0.158931 asn__L_c[c] + 0.000167 coa_c[c] + 0.002817 cobalt2_c[c] + 0.284685 asp__L_c[c] + 0.055652 cys__L_c[c] + 0.010804 datp_c[c] + 0.159783 ctp_c[c] + 0.002817 cu2_c[c] + 0.01721 dctp_c[c] + 0.010854 dttp_c[c] + 0.017423 dgtp_c[c] + 0.000223 fad_c[c] + 0.00634 fe2_c[c] + 0.00634 fe3_c[c] + 0.301809 glu__L_c[c] + 0.251507 gln__L_c[c] + 0.431309 gly_c[c] + 0.158509 k_c[c] + 0.628769 leu__L_c[c] + 0.210704 gtp_c[c] + 3e-06 lipopb_c[c] + 41.3974 h2o_c[c] + 3.1e-05 malcoa_c[c] + 0.180336 lys__L_c[c] + 0.000223 hemeO_c[c] + 0.122008 met__L_c[c] + 0.126289 his__L_c[c] + 0.007044 mg2_c[c] + 0.002817 ni2_c[c] + 0.000223 mlthf_c[c] + 0.002817 mobd_c[c] + 0.012699 murein5px4p_p[p] + 0.003522 na1_c[c] + 0.001786 nad_c[c] + 0.244551 ile__L_c[c] + 4.4e-05 nadh_c[c] + 0.000111 nadp_c[c] + 0.000335 nadph_c[c] + 0.010567 nh4_c[c] + 0.011635 phethapphlipa_c[c] + 0.00858 pe160_c[c] + 0.042623 pe161_c[c] + 0.002855 pe180_c[c] + 0.019426 pe181_c[c] + 0.004743 pg160_c[c] + 0.023561 pg161_c[c] + 0.001578 pg180_c[c] + 0.010738 pg181_c[c] + 0.191038 phe__L_c[c] + 0.000223 pheme_c[c] + 0.26328 pro__L_c[c] + 0.003522 so4_c[c] + 0.03327 ptrc_c[c] + 9.8e-05 succoa_c[c] + 0.000223 pydx5p_c[c] + 0.077592 trp__L_c[c] + 0.000223 q8h2_c[c] + 0.000223 thf_c[c] + 0.135921 tyr__L_c[c] + 0.256324 thr__L_c[c] + 0.000223 ribflv_c[c] + 5.5e-05 udcpdp_c[c] + 0.301274 ser__L_c[c] + 0.000223 sheme_c[c] + 0.143215 utp_c[c] + 0.389034 val__L_c[c] + 0.002817 zn2_c[c]  -> 46.7502 adp_c[c] + 46.7502 h_c[c] + 46.7467 pi_c[c] + 0.73868 ppi_c[c] 		  0.00	999999.00	  0.00
BIOMASS_KT2440_WT3	0.000223 10fthf_c[c] + 0.000223 4fe4s_c[c] + 0.000223 2fe2s_c[c] + 0.000223 5mthf_c[c] + 0.000279 accoa_c[c] + 0.000223 adocbl_c[c] + 0.598267 ala__L_c[c] + 46.9189 atp_c[c] + 0.000223 chor_c[c] + 0.000223 amet_c[c] + 0.000223 bmocogdp_c[c] + 0.000223 btamp_c[c] + 0.004226 cl_c[c] + 1.8e-05 clpn140_p[p] + 0.000578 clpn160_p[p] + 0.002873 clpn161_p[p] + 0.000192 clpn180_p[p] + 0.001309 clpn181_p[p] + 0.354251 arg__L_c[c] + 0.004226 ca2_c[c] + 0.158931 asn__L_c[c] + 0.000167 coa_c[c] + 0.002817 cobalt2_c[c] + 0.284685 asp__L_c[c] + 0.00041 cpe160_c[c] + 0.000226 cpg160_c[c] + 0.055652 cys__L_c[c] + 0.010804 datp_c[c] + 0.159783 ctp_c[c] + 0.002817 cu2_c[c] + 0.01721 dctp_c[c] + 0.010854 dttp_c[c] + 0.017423 dgtp_c[c] + 0.000223 fad_c[c] + 0.00634 fe2_c[c] + 0.00634 fe3_c[c] + 0.301809 glu__L_c[c] + 0.251507 gln__L_c[c] + 0.431309 gly_c[c] + 0.158509 k_c[c] + 0.628769 leu__L_c[c] + 0.000223 gthrd_c[c] + 0.210704 gtp_c[c] + 0.000223 lipopb_c[c] + 41.3974 h2o_c[c] + 3.1e-05 malcoa_c[c] + 0.008696 lpspput_e[e] + 0.180336 lys__L_c[c] + 0.000223 hemeO_c[c] + 0.122008 met__L_c[c] + 0.126289 his__L_c[c] + 0.007044 mg2_c[c] + 0.002817 ni2_c[c] + 0.000223 mlthf_c[c] + 0.002817 mn2_c[c] + 0.002817 mobd_c[c] + 0.000223 mocogdp_c[c] + 0.001979 murein3p3p_p[p] + 0.000326 murein3px4p_p[p] + 0.007917 murein4p4p_p[p] + 0.002941 murein4px4p_p[p] + 6.6e-05 murein4px4px4p_p[p] + 0.003522 na1_c[c] + 0.001786 nad_c[c] + 0.244551 ile__L_c[c] + 4.4e-05 nadh_c[c] + 0.000111 nadp_c[c] + 0.000335 nadph_c[c] + 0.010567 nh4_c[c] + 0.000251 pe140_c[c] + 0.007882 pe160_c[c] + 0.039155 pe161_c[c] + 0.002622 pe180_c[c] + 0.017845 pe181_c[c] + 0.000138 pg140_c[c] + 0.004354 pg160_c[c] + 0.021632 pg161_c[c] + 0.001449 pg180_c[c] + 0.000223 pqqh2_c[c] + 0.009859 pg181_c[c] + 0.191038 phe__L_c[c] + 0.000223 pheme_c[c] + 0.26328 pro__L_c[c] + 0.003522 so4_c[c] + 0.03327 ptrc_c[c] + 9.8e-05 succoa_c[c] + 0.000223 pydx5p_c[c] + 0.000223 pyovd_kt_e[e] + 0.077592 trp__L_c[c] + 0.000223 q8h2_c[c] + 0.000223 thf_c[c] + 0.000223 thmnp_c[c] + 0.135921 tyr__L_c[c] + 0.000223 thmpp_c[c] + 0.256324 thr__L_c[c] + 0.000223 ribflv_c[c] + 5.5e-05 udcpdp_c[c] + 0.301274 ser__L_c[c] + 0.000223 sheme_c[c] + 0.143215 utp_c[c] + 0.389034 val__L_c[c] + 0.002817 zn2_c[c]  -> 46.7502 adp_c[c] + 46.7502 h_c[c] + 46.7467 pi_c[c] + 0.73868 ppi_c[c] 		  0.42	1000.00	  1.00
CA2tex	ca2_e[e]  -> ca2_p[p] 		  0.00	999999.00	  0.00
CAT23DOX	catechol_c[c] + o2_c[c]  -> 2hmcnsad_c[c] 	pWW0_097	  0.00	999999.00	  0.00
CATECHOLtex	catechol_e[e]  -> catechol_p[p] 		  0.00	999999.00	  0.00
CATECHOLtpp	catechol_p[p]  -> catechol_c[c] 		  0.00	999999.00	  0.00
CAt6pp	ca2_c[c] + na1_p[p]  -> ca2_p[p] + na1_c[c] 	PP_0928	  0.00	999999.00	  0.00
CBItonex	cbi_e[e] + h_p[p]  -> cbi_p[p] + h_c[c] 	PP_0525 and PP_5306 and PP_5307 and PP_5308	  0.00	999999.00	  0.00
CBL1tonex	cbl1_e[e] + h_p[p]  -> cbl1_p[p] + h_c[c] 	PP_0525 and PP_5306 and PP_5307 and PP_5308	  0.00	999999.00	  0.00
CBPAH	Ncbmpts_c[c] + 2 h_c[c] + 2 h2o_c[c]  -> hco3_c[c] + nh4_c[c] + ptrc_c[c] 	PP_5340	  0.00	999999.00	  0.00
CD2t3pp	cd2_c[c] + h_p[p]  -> cd2_p[p] + h_c[c] 	PP_4774	  0.00	999999.00	  0.00
CD2t4pp	cd2_c[c] + h_p[p] + k_p[p]  -> cd2_p[p] + h_c[c] + k_c[c] 	PP_0026	  0.00	999999.00	  0.00
CD2t5	cd2_c[c] + h_p[p]  -> cd2_e[e] + h_c[c] 	PP_0043 and PP_0044 and PP_0045	  0.00	999999.00	  0.00
CD2t6	cd2_p[p] + h_p[p]  -> cd2_e[e] + h_c[c] 	PP_0043 and PP_0044 and PP_0045	  0.00	999999.00	  0.00
CD2tex	cd2_e[e]  -> cd2_p[p] 		  0.00	999999.00	  0.00
CD2tpp	cd2_p[p]  -> cd2_c[c] 		  0.00	999999.00	  0.00
CELLex	cell4_p[p]  -> cell4_e[e] 		  0.00	999999.00	  0.00
CHLtex	chol_e[e]  -> chol_p[p] 		  0.00	999999.00	  0.00
CHOLS_ex	chols_e[e]  -> chols_p[p] 		  0.00	999999.00	  0.00
CREATtex	creat_e[e]  -> creat_p[p] 		  0.00	999999.00	  0.00
CREATtpp	creat_p[p] + h_p[p]  -> creat_c[c] + h_c[c] 	PP_3666	  0.00	999999.00	  0.00
CRNtex	crn_e[e]  -> crn_p[p] 		  0.00	999999.00	  0.00
CRO2t3pp	cro2_c[c] + h_p[p]  -> cro2_p[p] + h_c[c] 	PP_2556	  0.00	999999.00	  0.00
CRO2tex	cro2_e[e]  -> cro2_p[p] 		  0.00	999999.00	  0.00
CRO2tpp	cro2_p[p]  -> cro2_c[c] 		  0.00	999999.00	  0.00
CRO4t3pp	cro4_c[c] + h_p[p]  -> cro4_p[p] + h_c[c] 	PP_2556	  0.00	999999.00	  0.00
CRO4tex	cro4_e[e]  -> cro4_p[p] 		  0.00	999999.00	  0.00
CRTNtex	crtn_e[e]  -> crtn_p[p] 		  0.00	999999.00	  0.00
CRTNtpp	crtn_p[p] + h_p[p]  -> crtn_c[c] + h_c[c] 		  0.00	999999.00	  0.00
CSNt2pp	csn_p[p] + h_p[p]  -> csn_c[c] + h_c[c] 	PP_3187	  0.00	999999.00	  0.00
CSNtex	csn_e[e]  -> csn_p[p] 		  0.00	999999.00	  0.00
CSPMDDH	aspsa_c[c] + h_c[c] + nadph_c[c] + ptrc_c[c]  -> cspmd_c[c] + h2o_c[c] + nadp_c[c] 	PP_2928	  0.00	999999.00	  0.00
CTI1	tde_2Z_coa_c[c]  -> td2coa_c[c] 		  0.00	999999.00	  0.00
CU2t4pp	cu2_c[c] + h_p[p] + k_p[p]  -> cu2_p[p] + h_c[c] + k_c[c] 	PP_0026	  0.00	999999.00	  0.00
CU2tex	cu2_e[e]  -> cu2_p[p] 		  0.00	999999.00	  0.00
CU2tonex	cu2_e[e] + h_p[p]  -> cu2_p[p] + h_c[c] 	PP_4838 and PP_5306 and PP_5307 and PP_5308	  0.00	999999.00	  0.00
CU2tpp	cu2_p[p]  -> cu2_c[c] 		  0.00	999999.00	  0.00
CUt3	cu_c[c] + h_e[e]  -> cu_e[e] + h_c[c] 	PP_5385 and PP_5386 and PP_5387 and PP_5388	  0.00	999999.00	  0.00
CUtex	cu_e[e]  -> cu_p[p] 		  0.00	999999.00	  0.00
CUt2pp	cu_p[p]  -> cu_c[c] 		  0.00	999999.00	  0.00
CYANt2pp	cyan_p[p] + h_p[p]  -> cyan_c[c] + h_c[c] 	PP_3751 or PP_0970	  0.00	999999.00	  0.00
CYANtex	cyan_e[e]  -> cyan_p[p] 		  0.00	999999.00	  0.00
CYO4pp	2 ficytc_c[c] + pqqh2_p[p]  -> 2 focytc_c[c] + pqq_p[p] 	PP_2675	  0.00	999999.00	  0.00
CYSDS	cys__L_c[c] + h2o_c[c]  -> h2s_c[c] + nh4_c[c] + pyr_c[c] 		  0.00	999999.00	  0.00
CYSDabcpp	atp_c[c] + cys__D_p[p] + h2o_c[c]  -> adp_c[c] + cys__D_c[c] + h_c[c] + pi_c[c] 		  0.00	999999.00	  0.00
CYSDtex	cys__D_e[e]  -> cys__D_p[p] 		  0.00	999999.00	  0.00
CYSTL	cyst__L_c[c] + h2o_c[c]  -> hcys__L_c[c] + nh4_c[c] + pyr_c[c] 		  0.00	999999.00	  0.00
CYSTS	hcys__L_c[c] + ser__L_c[c]  -> cyst__L_c[c] + h2o_c[c] 	PP_0658	  0.00	999999.00	  0.00
CYStex	cys__L_e[e]  -> cys__L_p[p] 		  0.00	999999.00	  0.00
CYStpp	cys__L_c[c]  -> cys__L_p[p] 	PP_2872	  0.00	999999.00	  0.00
DH3MCHCDH	dh3mchc_c[c] + nad_c[c]  -> 3mcat_c[c] + co2_c[c] + nadh_c[c] 	pWW0_099	  0.00	999999.00	  0.00
DH4MCHCDH	dh4mchc_c[c] + nad_c[c]  -> 4mcat_c[c] + co2_c[c] + nadh_c[c] 	pWW0_099	  0.00	999999.00	  0.00
DLEUabcpp	atp_c[c] + leu__D_p[p] + h2o_c[c]  -> adp_c[c] + h_c[c] + leu__D_c[c] + pi_c[c] 		  0.00	999999.00	  0.00
DLEUtex	leu__D_e[e]  -> leu__D_p[p] 		  0.00	999999.00	  0.00
METDtex	met__D_e[e]  -> met__D_p[p] 		  0.00	999999.00	  0.00
DMGLYtex	dmgly_e[e]  -> dmgly_p[p] 		  0.00	999999.00	  0.00
DM_5drib_c	5drib_c[c]  -> 		  0.00	999999.00	  0.00
DM_amob_c	amob_c[c]  -> 		  0.00	999999.00	  0.00
DM_C100aPHA_c	C100aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C100pPHA_c	C100pPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C101PAH_c	C101PAH_c[c]  -> 		  0.00	999999.00	  0.00
DM_C120aPHA_c	C120aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C121aPHA_c	C121aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C121d6PHA_c	C121d6PHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C140aPHA_c	C140aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C141aPHA_c	C141aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C141d5PHA_c	C141d5PHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C142PHA_c	C142PHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C40aPHA_c	C40aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C40atPHA_c	C40atPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C40pPHA_c	C40pPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C50aPHA_c	C50aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C50pPHA_c	C50pPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C60aPHA_c	C60aPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C60atPHA_c	C60atPHA_c[c]  -> 		  0.00	999999.00	  0.00
DM_C60pPHA_c	C60pPHA_c[c]  -> 		  0.00	999999.00	  0.00
ECOAH9ir	2mb2coa_c[c] + h2o_c[c]  -> 3hmbcoa_c[c] 		  0.00	999999.00	  0.00
ECTOtex	ecto__L_e[e]  -> ecto__L_p[p] 		  0.00	999999.00	  0.00
EGMEACPR	egmeACP_c[c] + h_c[c] + nadph_c[c]  -> gmeACP_c[c] + nadp_c[c] 		  0.00	999999.00	  0.00
EPMEACPR	epmeACP_c[c] + h_c[c] + nadph_c[c]  -> nadp_c[c] + pmeACP_c[c] 		  0.00	999999.00	  0.00
ETHAt2pp	etha_p[p] + h_p[p]  -> etha_c[c] + h_c[c] 	PP_0544	  0.00	999999.00	  0.00
ETHAtex	etha_e[e]  -> etha_p[p] 		  0.00	999999.00	  0.00
ETOHtex	etoh_e[e]  -> etoh_p[p] 		  0.00	999999.00	  0.00
ETOHtrpp	etoh_p[p]  -> etoh_c[c] 	PP_s0001	  0.00	999999.00	  0.00
EX_12dgr160_e	12dgr160_e[e]  -> 		  0.00	  0.00	  0.00
EX_12dgr180_e	12dgr180_e[e]  -> 		  0.00	  0.00	  0.00
EX_13dampp_e	13dampp_e[e]  -> 		  0.00	  0.00	  0.00
EX_15dap_e	15dap_e[e]  -> 		  0.00	  0.00	  0.00
EX_1ag160_e	1ag160_e[e]  -> 		  0.00	  0.00	  0.00
EX_1ag180_e	1ag180_e[e]  -> 		  0.00	  0.00	  0.00
EX_1ag181d9_e	1ag181d9_e[e]  -> 		  0.00	  0.00	  0.00
EX_1ag182d9d12_e	1ag182d9d12_e[e]  -> 		  0.00	  0.00	  0.00
EX_25dkglcn_e	25dkglcn_e[e]  -> 		  0.00	  0.00	  0.00
EX_26dap__M_e	26dap__M_e[e]  -> 		  0.00	  0.00	  0.00
EX_AEP_e	2ameph_e[e]  -> 		  0.00	  0.00	  0.00
EX_2ddglcn_e	2ddglcn_e[e]  -> 		  0.00	  0.00	  0.00
EX_2dhglcn_e	2dhglcn_e[e]  -> 		  0.00	 10.00	  0.00
EX_2m35mdntha_e	2m35mdntha_e[e]  -> 		  0.00	  0.00	  0.00
EX_34dhbz_e	34dhbz_e[e]  -> 		  0.00	  0.00	  0.00
EX_34dhcinm_e	34dhcinm_e[e]  -> 		  0.00	  0.00	  0.00
EX_34dhphe_e	34dhphe_e[e]  -> 		  0.00	  0.00	  0.00
EX_35dnta_e	35dnta_e[e]  -> 		  0.00	  0.00	  0.00
EX_3h4atb_e	3h4atb_e[e]  -> 		  0.00	  0.00	  0.00
EX_3mb_e	3mb_e[e]  -> 		  0.00	  0.00	  0.00
EX_btd_RR_e	btd_RR_e[e]  -> 		  0.00	  0.00	  0.00
EX_btn_e	btn_e[e]  -> 		  0.00	  0.00	  0.00
EX_butso3_e	butso3_e[e]  -> 		  0.00	  0.00	  0.00
EX_bz_e	bz_e[e]  -> 		  0.00	  0.00	  0.00
EX_ca2_e	ca2_e[e]  -> 		  0.00	  0.00	  0.00
EX_carn_e	carn_e[e]  -> 		  0.00	  0.00	  0.00
EX_catechol_e	catechol_e[e]  -> 		  0.00	  0.00	  0.00
EX_cbi_e	cbi_e[e]  -> 		  0.00	  0.00	  0.00
EX_cbl1_e	cbl1_e[e]  -> 		  0.00	  0.00	  0.00
EX_cd2_e	cd2_e[e]  -> 		  0.00	  0.00	  0.00
EX_cell4_e	cell4_e[e]  -> 		  0.00	  0.00	  0.00
EX_cgly_e	cgly_e[e]  -> 		  0.00	  0.00	  0.00
EX_chol_e	chol_e[e]  -> 		  0.00	  0.00	  0.00
EX_chols_e	chols_e[e]  -> 		  0.00	  0.00	  0.00
